ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,Protocol,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/Protocol$",,,,
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,BaseURL,string,,,,,
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,IntervalSeconds,int,14400,,,,
Microsoft.JEE.Tomcat.Library,Microsoft.JEE.Tomcat.ConfigurationHealth.JmxStoreConnection.Monitor,UnitMonitor,JMX Store Configuration,The configuration health monitor for the JMX store connection of a Tomcat web application server configuration.,ComputerName,string,"$Target/Property[Type=""JEE!Microsoft.JEE.ApplicationServer.Monitored.Instance""]/HostName$",,,,
Microsoft.JEE.Library,Microsoft.JEE.PerformanceHealth.MemoryUtilizedMonitor,UnitMonitor,Percentage VM Memory Utilized,A performance monitor for the percentage of virtual machine memory used on an application server.,Enabled,bool,FALSE,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.UnixComputerContainsUnixSeed.Discovery,Discovery,Unix/Linux computer contains seed for a Tomcat 6.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and seed for a Tomcat web application server configuration.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.UnixComputerContainsUnixSeed.Discovery,Discovery,Unix/Linux computer contains seed for a Tomcat 6.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and seed for a Tomcat web application server configuration.,Frequency,int,14400,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.UnixComputerContainsConfiguration.Discovery,Discovery,Unix/Linux computer contains Tomcat 6.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and a Tomcat web application server configuration.,Enabled,bool,TRUE,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.UnixComputerContainsConfiguration.Discovery,Discovery,Unix/Linux computer contains Tomcat 6.x web application server configuration relationship,Discovers relationship between a Unix/Linux computer and a Tomcat web application server configuration.,Frequency,int,14400,,,,
Microsoft.JEE.Tomcat.6,Microsoft.JEE.Tomcat.6.Unix.Monitored.Configuration.Discovery,Discovery,Monitored configuration for Tomcat 6.x application server on Unix/Linux,Discovers monitored Tomcat web application server configurations on Unix/Linux.,Enabled,bool,TRUE,,,,
