ManagementPackId,WorkflowId,WorkflowType,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Balanced,Full,Notes
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsJoined,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsJoined,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaIsJoined,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaErrorPolicyStateMonitor,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaErrorPolicyStateMonitor,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaErrorPolicyStateMonitor,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.DatabaseReplicaErrorPolicyStateMonitor,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaDataSynchronizationHealth,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaDataSynchronizationHealth,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaDataSynchronizationHealth,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicaDataSynchronizationHealth,UnitMonitor,PolicyName,string,Targeted Property,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizing,UnitMonitor,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizing,UnitMonitor,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.AlwaysOn.Monitoring,Microsoft.SQLServer.2012.AlwaysOn.AvailabilityReplicasSynchronizing,UnitMonitor,Interval,int,900,,,,
Microsoft.SQLServer.2012.AlwaysOn.Discovery,Microsoft.SQLServer.2012.AlwaysOn.ScriptFailedRule,Rule,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.DiscoveryFailed.Rule,Rule,Priority,int,1,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.PopulateSQLServersInstanceGroup,Discovery,Enabled,bool,TRUE,,,FALSE,Discovery Property
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.PopulateSQLServersReplicationGroup,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationPublicationsSubscriptionsDiscoveryRule,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationPublicationsSubscriptionsDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationPublicationsSubscriptionsDiscoveryRule,Discovery,SyncTime,string,,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationPublicationsSubscriptionsDiscoveryRule,Discovery,IntervalSeconds,int,14400,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ExpressInstancesGroup.Discovery,Discovery,Enabled,bool,TRUE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationComponentDiscoveryRule,Discovery,Enabled,bool,FALSE,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationComponentDiscoveryRule,Discovery,TimeoutSeconds,int,300,,,,
Microsoft.SQLServer.2012.Discovery,Microsoft.SQLServer.2012.ReplicationComponentDiscoveryRule,Discovery,IntervalSeconds,int,14400,,,,
