ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Machine_Setting_Request_rate_12_Rule,Rule,Perf Collection: SMS Dmp Datastore - Machine Setting Requests/sec,Perf Collection: DMP Machine Setting Request Rate,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_DMP_Machine_Setting_Request_rate_12_Rule,Rule,Perf Collection: SMS Dmp Datastore - Machine Setting Requests/sec,Perf Collection: DMP Machine Setting Request Rate,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SMS_State_System_Total_Bad_Message_Files_Processed_19_Rule,Rule,Perf Collection: SMS State System - Total Bad Message Files Processed,Perf Collection: SMS State System Total Bad Message Files Processed,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SMS_State_System_Total_Bad_Message_Files_Processed_19_Rule,Rule,Perf Collection: SMS State System - Total Bad Message Files Processed,Perf Collection: SMS State System Total Bad Message Files Processed,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SMS_State_System_Total_Bad_Message_Files_Processed_19_Rule,Rule,Perf Collection: SMS State System - Total Bad Message Files Processed,Perf Collection: SMS State System Total Bad Message Files Processed,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_SMS_State_System_Total_Bad_Message_Files_Processed_19_Rule,Rule,Perf Collection: SMS State System - Total Bad Message Files Processed,Perf Collection: SMS State System Total Bad Message Files Processed,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_rdr.box_Total_Files_Copied_17_Rule,Rule,Perf Collection: SMS Outbox - Total Files Copied (rdr.box),Perf Collection: Server Outbox rdr.box Total Files Copied,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_rdr.box_Total_Files_Copied_17_Rule,Rule,Perf Collection: SMS Outbox - Total Files Copied (rdr.box),Perf Collection: Server Outbox rdr.box Total Files Copied,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_rdr.box_Total_Files_Copied_17_Rule,Rule,Perf Collection: SMS Outbox - Total Files Copied (rdr.box),Perf Collection: Server Outbox rdr.box Total Files Copied,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_rdr.box_Total_Files_Copied_17_Rule,Rule,Perf Collection: SMS Outbox - Total Files Copied (rdr.box),Perf Collection: Server Outbox rdr.box Total Files Copied,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_hinv.box_Backlog_17_Rule,Rule,Perf Collection: SMS Outbox - File Current Count (hinv.box),Perf Collection: Server Outbox hinv.box Backlog,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_hinv.box_Backlog_17_Rule,Rule,Perf Collection: SMS Outbox - File Current Count (hinv.box),Perf Collection: Server Outbox hinv.box Backlog,Tolerance,double,5,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_hinv.box_Backlog_17_Rule,Rule,Perf Collection: SMS Outbox - File Current Count (hinv.box),Perf Collection: Server Outbox hinv.box Backlog,MaximumSampleSeparation,int,10,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.Perf_Collection_Server_Outbox_hinv.box_Backlog_17_Rule,Rule,Perf Collection: SMS Outbox - File Current Count (hinv.box),Perf Collection: Server Outbox hinv.box Backlog,Frequency,int,900,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.TotalNonUserDDRProcessed,Rule,Perf Collection: SMS Discovery Data Manager - Total Non-User DDRs Processed,This rule collects the total number of non-user DDRs processed by site server.,Enabled,bool,FALSE,,
Microsoft.SystemCenter2012.ConfigurationManager.Monitoring,Microsoft.SystemCenter2012.ConfigurationManager.TotalNonUserDDRProcessed,Rule,Perf Collection: SMS Discovery Data Manager - Total Non-User DDRs Processed,This rule collects the total number of non-user DDRs processed by site server.,Tolerance,double,5,,
