ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.HostRule.pNic.OutputQueueLength,Rule,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.HostRule.pNic.OutputQueueLength,Rule,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,Frequency,int,300,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.HostRule.pNic.OutputQueueLength,Rule,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,Veeam Hyper-V Host Physical Network Adapter Output Queue Length,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.CSVRule.UsedPct,Rule,Veeam Hyper-V CSV Used Space %,Veeam Hyper-V CSV Used Space %,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.CSVRule.UsedPct,Rule,Veeam Hyper-V CSV Used Space %,Veeam Hyper-V CSV Used Space %,TimeoutSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.CSVRule.UsedPct,Rule,Veeam Hyper-V CSV Used Space %,Veeam Hyper-V CSV Used Space %,IntervalSeconds,int,300,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.CSVRule.UsedPct,Rule,Veeam Hyper-V CSV Used Space %,Veeam Hyper-V CSV Used Space %,SyncTime,string,,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.VMRule.DISK.IOPS,Rule,Veeam Hyper-V VM Storage Commands per Second (_Total),Veeam Hyper-V VM Storage Commands per Second,Enabled,bool,onEssentialMonitoring,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.VMRule.DISK.IOPS,Rule,Veeam Hyper-V VM Storage Commands per Second (_Total),Veeam Hyper-V VM Storage Commands per Second,Frequency,int,300,,
Veeam.Virt.Extensions.HyperV.Monitoring,Veeam.Virt.Extensions.HyperV.SMBRule.freeSpace,Rule,Veeam Hyper-V SMB Volume Free Space GB,Veeam Hyper-V SMB Volume Free Space GB,Enabled,bool,onEssentialMonitoring,,
