ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Custom,Notes
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.DiskWritesPerSec.Collection,Rule,Physical Disk Writes per Second,Collects the performance counter PhysicalDisk\Disk Writes/sec.,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.NTFSQuotaThresholdReached.Collection.MissionCritical,Rule,NTFS Quota Threshold Reached Collection,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.AvgDiskSecPerWrite.Collection,Rule,Physical Disk Average Disk Seconds per Write,Collects the performance counter PhysicalDisk\Avg. Disk sec/Write.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.AvgDiskSecPerWrite.Collection,Rule,Physical Disk Average Disk Seconds per Write,Collects the performance counter PhysicalDisk\Avg. Disk sec/Write.,Tolerance,double,0.005,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.AvgDiskSecPerWrite.Collection,Rule,Physical Disk Average Disk Seconds per Write,Collects the performance counter PhysicalDisk\Avg. Disk sec/Write.,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.PhysicalDisk.AvgDiskSecPerWrite.Collection,Rule,Physical Disk Average Disk Seconds per Write,Collects the performance counter PhysicalDisk\Avg. Disk sec/Write.,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.DiskCorruptionRepairFailed.Rule,Rule,Disk Corruption Repair Failed Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceTerminatedUnexpextedly.Alert.MissionCritical,Rule,Service Terminated Unexpectedly Alert Mission Critical,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceTerminatedUnexpextedly.Alert.MissionCritical,Rule,Service Terminated Unexpectedly Alert Mission Critical,,Severity,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceTerminatedUnexpextedly.Alert.MissionCritical,Rule,Service Terminated Unexpectedly Alert Mission Critical,,Priority,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskBytesPerSec.Collection,Rule,Logical Disk Bytes Per Second,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskBytesPerSec.Collection,Rule,Logical Disk Bytes Per Second,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Tolerance,double,100000,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskBytesPerSec.Collection,Rule,Logical Disk Bytes Per Second,Collects the performance counter LogicalDisk\Disk Bytes Per Second,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskBytesPerSec.Collection,Rule,Logical Disk Bytes Per Second,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,The Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.MemoryExhaustion.Rule,Rule,Memory Exhaustion Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceTerminatedUnexpextedly.Alert,Rule,The Service Terminated Unexpectedly,An event was collected indicating an unexpected service termination.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.IPAddressConflict.Alert,Rule,A Duplicate IP Address has been Detected on the Network,A duplicate IP address has been detected on the network.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.PerfCounterDataRequestTimeOut.Alert.MissionCritical,Rule,Performance Counter Data Request TimeOut Alert,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.PerfCounterDataRequestTimeOut.Alert.MissionCritical,Rule,Performance Counter Data Request TimeOut Alert,,Severity,int,2,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.PerfCounterDataRequestTimeOut.Alert.MissionCritical,Rule,Performance Counter Data Request TimeOut Alert,,Priority,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.ServiceOrDriverFailedToStart.Alert,Rule,The Service or Driver Failed to Start,An event was detected indicating a service or driver failed to start.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.NTFSDelayedWriteLost.Alert.MissionCritical,Rule,NTFS Delayed Write Lost Alert Mission Critical,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.NTFSDelayedWriteLost.Alert.MissionCritical,Rule,NTFS Delayed Write Lost Alert Mission Critical,,Severity,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.NTFSDelayedWriteLost.Alert.MissionCritical,Rule,NTFS Delayed Write Lost Alert Mission Critical,,Priority,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.Computer.DiskCorruptionRepairSucceededNeedReboot.Rule,Rule,Disk Corruption Repair Succeeded Need Reboot Rule,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.DirtyShutdown.Collection,Rule,Collection Rule for Windows Dirty Shutdown Events,This rule collects events indicating a dirty Windows shutdown.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerRead.Collection,Rule,Logical Disk Average Disk Second Per Read,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerRead.Collection,Rule,Logical Disk Average Disk Second Per Read,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Tolerance,double,0.005,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerRead.Collection,Rule,Logical Disk Average Disk Second Per Read,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerRead.Collection,Rule,Logical Disk Average Disk Second Per Read,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskWritesPerSec.Collection,Rule,Logical Disk Writes Per Second,Collects the performance counter LogicalDisk\Disk Writes Per Second,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskWritesPerSec.Collection,Rule,Logical Disk Writes Per Second,Collects the performance counter LogicalDisk\Disk Writes Per Second,Tolerance,double,10,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskWritesPerSec.Collection,Rule,Logical Disk Writes Per Second,Collects the performance counter LogicalDisk\Disk Writes Per Second,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.DiskWritesPerSec.Collection,Rule,Logical Disk Writes Per Second,Collects the performance counter LogicalDisk\Disk Writes Per Second,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Processor % Processor Time Total,Collects the performance counter Processor\% Processor Time,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Processor % Processor Time Total,Collects the performance counter Processor\% Processor Time,Tolerance,double,2,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Processor % Processor Time Total,Collects the performance counter Processor\% Processor Time,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Processor % Processor Time Total,Collects the performance counter Processor\% Processor Time,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryAvailableMBytes.Collection,Rule,Memory Available Megabytes,Collects the performance counter Memory\Available MBytes,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryAvailableMBytes.Collection,Rule,Memory Available Megabytes,Collects the performance counter Memory\Available MBytes,Tolerance,double,10,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryAvailableMBytes.Collection,Rule,Memory Available Megabytes,Collects the performance counter Memory\Available MBytes,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryAvailableMBytes.Collection,Rule,Memory Available Megabytes,Collects the performance counter Memory\Available MBytes,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Logical Disk Average Disk Second Per Transfer,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Logical Disk Average Disk Second Per Transfer,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Tolerance,double,0.005,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Logical Disk Average Disk Second Per Transfer,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.LogicalDisk.AvgDiskSecPerTransfer.Collection,Rule,Logical Disk Average Disk Second Per Transfer,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Frequency,int,900,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.EventLogFull.Alert.MissionCritical,Rule,Event Log Full Alert Mission Critical,,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.EventLogFull.Alert.MissionCritical,Rule,Event Log Full Alert Mission Critical,,Severity,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.EventLogFull.Alert.MissionCritical,Rule,Event Log Full Alert Mission Critical,,Priority,int,1,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryPageWritesPerSec.Collection,Rule,Memory Page Writes per Second,Collects the performance counter Memory\Page Writes/Sec.,Enabled,bool,false,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryPageWritesPerSec.Collection,Rule,Memory Page Writes per Second,Collects the performance counter Memory\Page Writes/Sec.,Tolerance,double,0,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryPageWritesPerSec.Collection,Rule,Memory Page Writes per Second,Collects the performance counter Memory\Page Writes/Sec.,MaximumSampleSeparation,int,4,,
Microsoft.Windows.Client.Win10.Monitoring,Microsoft.Windows.Client.Win10.OperatingSystem.MemoryPageWritesPerSec.Collection,Rule,Memory Page Writes per Second,Collects the performance counter Memory\Page Writes/Sec.,Frequency,int,900,,
