ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Essentials,Full,Standard,Notes
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.NTFSDelayedWriteLost.Alert,Rule,NTFS - Delayed Write Lost,NT file system reports a delayed write was lost.,Severity,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.NTFSDelayedWriteLost.Alert,Rule,NTFS - Delayed Write Lost,NT file system reports a delayed write was lost.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Severity,int,2,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceEnteredUnpredictableState.Alert,Rule,A Service has Entered into an Unpredictable State,A service has entered an unpredictable state.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.ServiceTerminatedUnexpextedly.Collection,Rule,Collection rule for unexpected service terminations,Collection rule for events indicating unexpected service terminations.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Computer.RunWMIAdap,Rule,Reserved,Reserved,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Computer.RunWMIAdap,Rule,Reserved,Reserved,TimeoutSeconds,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.PercentIdle.Collection,Rule,% Physical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.PercentIdle.Collection,Rule,% Physical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Tolerance,double,50,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.PercentIdle.Collection,Rule,% Physical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.PercentIdle.Collection,Rule,% Physical Disk Idle Time Windows Server 2012,The percentage of time during the sample interval that the disk was idle.,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.SoftwareUpdateInstallationFailed.Collection,Rule,Collection Rule for Software Update Installation Failed,Collection rule for events indicating a failed software update installation.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesInputPerSec.Collection,Rule,Pages Input Per Second,Collects the performance counter Memory\Pages Input/sec,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesInputPerSec.Collection,Rule,Pages Input Per Second,Collects the performance counter Memory\Pages Input/sec,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesInputPerSec.Collection,Rule,Pages Input Per Second,Collects the performance counter Memory\Pages Input/sec,MaximumSampleSeparation,int,6,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.MemoryPagesInputPerSec.Collection,Rule,Pages Input Per Second,Collects the performance counter Memory\Pages Input/sec,Frequency,int,600,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.LDMVolumeNotStarted.Alert,Rule,Reserved,Reserved,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.LDMVolumeNotStarted.Alert,Rule,Reserved,Reserved,Severity,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.LDMVolumeNotStarted.Alert,Rule,Reserved,Reserved,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.FreeSpace.Collection,Rule,% Logical Disk Free Space Windows Server 2012,The percentage of total usable space on the logical disk that is unallocated,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.FreeSpace.Collection,Rule,% Logical Disk Free Space Windows Server 2012,The percentage of total usable space on the logical disk that is unallocated,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.FreeSpace.Collection,Rule,% Logical Disk Free Space Windows Server 2012,The percentage of total usable space on the logical disk that is unallocated,MaximumSampleSeparation,int,6,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.FreeSpace.Collection,Rule,% Logical Disk Free Space Windows Server 2012,The percentage of total usable space on the logical disk that is unallocated,Frequency,int,600,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerfCounterDataRequestTimeOut.Alert,Rule,Too many requests for performance counter data have failed,Too many requests for performance counter data have timed out and failed.,Enabled,bool,TRUE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerfCounterDataRequestTimeOut.Alert,Rule,Too many requests for performance counter data have failed,Too many requests for performance counter data have timed out and failed.,Severity,int,2,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.OperatingSystem.PerfCounterDataRequestTimeOut.Alert,Rule,Too many requests for performance counter data have failed,Too many requests for performance counter data have timed out and failed.,Priority,int,1,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.DiskWriteBytesPerSec.Collection,Rule,Physical Disk Write Bytes Per Second Windows Server 2012,The rate at which bytes are transferred from the disk during write operations.,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.DiskWriteBytesPerSec.Collection,Rule,Physical Disk Write Bytes Per Second Windows Server 2012,The rate at which bytes are transferred from the disk during write operations.,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.DiskWriteBytesPerSec.Collection,Rule,Physical Disk Write Bytes Per Second Windows Server 2012,The rate at which bytes are transferred from the disk during write operations.,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.PhysicalDisk.DiskWriteBytesPerSec.Collection,Rule,Physical Disk Write Bytes Per Second Windows Server 2012,The rate at which bytes are transferred from the disk during write operations.,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskBytesPerSec.Collection,Rule,Collection Rule for Disk Bytes Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskBytesPerSec.Collection,Rule,Collection Rule for Disk Bytes Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Tolerance,double,10,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskBytesPerSec.Collection,Rule,Collection Rule for Disk Bytes Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Bytes Per Second,MaximumSampleSeparation,int,12,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.LogicalDisk.DiskBytesPerSec.Collection,Rule,Collection Rule for Disk Bytes Per Second Windows Server 2012,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Frequency,int,300,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Processor.PercentInterruptTime.Collection,Rule,Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Enabled,bool,FALSE,,,,
Microsoft.Windows.Server.2012.Monitoring,Microsoft.Windows.Server.6.2.Processor.PercentInterruptTime.Collection,Rule,Processor Information % Interrupt Time Windows Server 2012,Collects the performance counter Processor Information\% Interrupt Time,Tolerance,double,10,,,,
