ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Test,QA,Production,Performance,Notes
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentProcessorTime.Collection,Rule,Total Processor % Processor Time (Universal Linux),Collects the performance counter Processor\% Processor Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesTotalSec.Collection,Rule,Bytes Total/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Total/Sec,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesTotalSec.Collection,Rule,Bytes Total/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Total/Sec,NumSamples,int,1,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.NetworkAdapter.BytesTotalSec.Collection,Rule,Bytes Total/Sec (Universal Linux),Collection rule for the performance counter Network Adapter\Bytes Total/Sec,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentAvailableSwap.Collection,Rule,% Available Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Available Swap Space,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentAvailableSwap.Collection,Rule,% Available Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Available Swap Space,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.PercentAvailableSwap.Collection,Rule,% Available Swap Space (Universal Linux),Collection rule for the performance counter Swap Space\% Available Swap Space,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentInterruptTime.Collection,Rule,Processor % Interrupt Time (Universal Linux),Collects the performance counter Processor\% Interrupt Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentInterruptTime.Collection,Rule,Processor % Interrupt Time (Universal Linux),Collects the performance counter Processor\% Interrupt Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.Processor.TotalPercentInterruptTime.Collection,Rule,Processor % Interrupt Time (Universal Linux),Collects the performance counter Processor\% Interrupt Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time (Universal Linux),Collects the performance counter Processor\% DPC Time,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time (Universal Linux),Collects the performance counter Processor\% DPC Time,Interval,int,300,900,600,300,120,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.OperatingSystem.TotalPercentDPCTime.Collection,Rule,Total Processor % DPC Time (Universal Linux),Collects the performance counter Processor\% DPC Time,SyncTime,string,,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Enabled,bool,FALSE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,RegExpFilter,string,\s+sshd\[[[:digit:]]+\]: Failed password for (invalid user )?root from \S+,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Host,string,"$Target/Property[Type=""Unix!Microsoft.Unix.Computer""]/PrincipalName$",,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,IndividualAlerts,bool,FALSE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,LogFile,string,/var/log/secure,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Severity,int,2,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.LogFile.Syslog.SSHAuth.PAM.Root.Failure.Alert,Rule,SSH Authentication Failure alert rule,Alert rule for detection of SSH Authentication failures.,Priority,int,1,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.PhysicalDisk.AverageDiskTransferTime.Monitor,UnitMonitor,Physical Disk Avg. Disk sec/Transfer,Universal Linux Physical Disk Avg. Disk sec/Transfer Monitor,Enabled,bool,TRUE,,,,,
Microsoft.Linux.Universal.Monitoring,Microsoft.Linux.Universal.PhysicalDisk.AverageDiskTransferTime.Monitor,UnitMonitor,Physical Disk Avg. Disk sec/Transfer,Universal Linux Physical Disk Avg. Disk sec/Transfer Monitor,Interval,int,300,900,600,300,120,
