ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,AvailabilityOnly,Summary,SummaryOpsDBOnly,DefaultOpsDBOnly,DefaultDWHFull,Notes
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,IntervalSeconds,int,900,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,WarningThreshold,double,0.5,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,SyncTime,string,00:06,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,ProviderName,string,ORAMP_AsyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,CriticalThreshold,double,NaN,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SessionsLibraryCacheMutexXCnt,UnitMonitor,Sessions Library Cache Mutex X,This monitor counts number of sessions with high average waiting time for 'library cache: mutex X' event.,ThresholdType,string,MAX,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LibCacheHitPrct,UnitMonitor,Library Cache Gethits Ratio,This monitor provides the ratio of gethits to gets in the dictionary cache for a specific instance.,Enabled,bool,TRUE,FALSE,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,WarningThreshold,double,01. Sep,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,SyncTime,string,00:06,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,ThresholdType,string,MAX,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,IntervalSeconds,int,900,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,CriticalThreshold,double,NaN,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.ArchivedRedoLogs,UnitMonitor,Archived Redo Logs,This monitor counts the number of non archived logs.,ProviderName,string,ORAMP_AsyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LibCachePinHitPrct,UnitMonitor,Library Cache Pinhits Ratio,This monitor provides the ratio of pinhits to gets in the library cache for a specific instance.,Enabled,bool,TRUE,FALSE,FALSE,FALSE,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,IntervalSeconds,int,900,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,WarningThreshold,double,0.5,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,SyncTime,string,00:06,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,ProviderName,string,ORAMP_AsyncProvider1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,CriticalThreshold,double,NaN,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,Tracing,bool,FALSE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.SQLMaxCPUCnt,UnitMonitor,Queries With High CPU Usage,This monitor provides the number of SQL statements with high CPU time per execution.,ThresholdType,string,MAX,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.LicenseExpiration,UnitMonitor,NiCE Oracle License Expiration,This monitor returns the number of days until the license is expired.,Enabled,bool,TRUE,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSFragementationCnt,UnitMonitor,Tablespace Fragmentation Count (PDB),This monitor provides number of fragments for a tablespace.,ThresholdType,string,MAX,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSFragementationCnt,UnitMonitor,Tablespace Fragmentation Count (PDB),This monitor provides number of fragments for a tablespace.,MatchCount,int,1,,,,,,
NiCE.Oracle.X,NiCE.Oracle.X.UM.PDB.TSFragementationCnt,UnitMonitor,Tablespace Fragmentation Count (PDB),This monitor provides number of fragments for a tablespace.,WarningThreshold,double,50,,,,,,
