ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Balanced,Essential,Full,Notes
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.control.channel.for.the.WWW.Service.did.not.open,Rule,HTTP control channel for the WWW Service did not open,HTTP control channel for the WWW Service did not open,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.control.channel.for.the.WWW.Service.did.not.open,Rule,HTTP control channel for the WWW Service did not open,HTTP control channel for the WWW Service did not open,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.control.channel.for.the.WWW.Service.did.not.open,Rule,HTTP control channel for the WWW Service did not open,HTTP control channel for the WWW Service did not open,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,HTTP Server could not create a client connection object for user,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,HTTP Server could not create a client connection object for user,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.a.client.connection.object.for.user,Rule,HTTP Server could not create a client connection object for user,HTTP Server could not create a client connection object for user,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.the.main.connection.socket,Rule,HTTP Server could not create the main connection socket,HTTP Server could not create the main connection socket,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.the.main.connection.socket,Rule,HTTP Server could not create the main connection socket,HTTP Server could not create the main connection socket,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.create.the.main.connection.socket,Rule,HTTP Server could not create the main connection socket,HTTP Server could not create the main connection socket,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.its.security,Rule,HTTP Server could not initialize its security,HTTP Server could not initialize its security,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.its.security,Rule,HTTP Server could not initialize its security,HTTP Server could not initialize its security,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.its.security,Rule,HTTP Server could not initialize its security,HTTP Server could not initialize its security,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.the.socket.library,Rule,HTTP Server could not initialize the socket library,HTTP Server could not initialize the socket library,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.the.socket.library,Rule,HTTP Server could not initialize the socket library,HTTP Server could not initialize the socket library,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.could.not.initialize.the.socket.library,Rule,HTTP Server could not initialize the socket library,HTTP Server could not initialize the socket library,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,HTTP Server was unable to initialize due to a shortage of available memory,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,HTTP Server was unable to initialize due to a shortage of available memory,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,Rule,HTTP Server was unable to initialize due to a shortage of available memory,HTTP Server was unable to initialize due to a shortage of available memory,Severity,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.ISAPI.application.error.detected,Rule,ISAPI application error detected,ISAPI application error detected,Enabled,bool,TRUE,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.ISAPI.application.error.detected,Rule,ISAPI application error detected,ISAPI application error detected,Priority,int,1,,,,
Microsoft.Windows.InternetInformationServices.2016,Microsoft.Windows.InternetInformationServices.10.0.ISAPI.application.error.detected,Rule,ISAPI application error detected,ISAPI application error detected,Severity,int,1,,,,
