ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleVMCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole VMCount,Monitors the user role VMCount quota,TimeoutSeconds,int,300,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleVMCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole VMCount,Monitors the user role VMCount quota,IntervalSeconds,int,1800,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleVMCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole VMCount,Monitors the user role VMCount quota,CriticalThreshold,double,90,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.UserRoleVMCountMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager UserRole VMCount,Monitors the user role VMCount quota,WarningThreshold,double,80,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.InvalidDynamicAddressMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager VNic Dynamic Address,Monitors whether the dynamic MAC address is valid.,Enabled,bool,FALSE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.ApplicationStateMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Application Instance State,Monitors the state of the Application Instance,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.ApplicationStateMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Application Instance State,Monitors the state of the Application Instance,TimeoutSeconds,int,180,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.ApplicationStateMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Application Instance State,Monitors the state of the Application Instance,IntervalSeconds,int,180,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostMemoryUtilizationMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Memory Utilization,Monitors the host memory utilization,Enabled,bool,TRUE,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostMemoryUtilizationMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Memory Utilization,Monitors the host memory utilization,CriticalThreshold,int,95,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostMemoryUtilizationMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Memory Utilization,Monitors the host memory utilization,NumSamples,int,3,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostMemoryUtilizationMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Memory Utilization,Monitors the host memory utilization,WarningThreshold,int,90,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HostMemoryUtilizationMonitor,UnitMonitor,System Center 2016 Virtual Machine Manager Host Memory Utilization,Monitors the host memory utilization,IntervalSeconds,int,180,
Microsoft.SystemCenter.VirtualMachineManager.2016.Monitoring,Microsoft.SystemCenter.VirtualMachineManager.2016.HyperVHostUpdate959978Monitor,UnitMonitor,System Center 2016 Virtual Machine Manager Hyper-V Host Update 959978,Monitors whether the VMM Hyper-V host update 959978 is installed,Enabled,bool,FALSE,
